iter	Passed	Remaining
0	280	140011
1	383	95438
2	478	79302
3	596	73928
4	688	68209
5	799	65853
6	899	63382
7	1010	62141
8	1120	61128
9	1229	60246
10	1330	59166
11	1433	58294
12	1532	57425
13	1635	56779
14	1746	56476
15	1847	55872
16	1947	55327
17	2055	55050
18	2160	54683
19	2258	54208
20	2366	53980
21	2469	53649
22	2574	53401
23	2688	53312
24	2820	53591
25	2919	53224
26	3030	53085
27	3140	52945
28	3271	53138
29	3380	52953
30	3496	52895
31	3605	52723
32	3691	52239
33	3804	52146
34	3926	52164
35	4031	51965
36	4144	51867
37	4227	51400
38	4289	50708
39	4351	50037
40	4423	49521
41	4490	48972
42	4560	48470
43	4626	47947
44	4696	47488
45	4777	47149
46	4854	46790
47	4926	46389
48	4978	45825
49	5033	45298
50	5099	44898
51	5162	44481
52	5220	44030
53	5275	43568
54	5331	43138
55	5375	42619
56	5470	42518
57	5569	42440
58	5658	42295
59	5737	42074
60	5797	41724
61	5854	41357
62	5904	40959
63	5955	40568
64	6008	40212
65	6067	39900
66	6132	39630
67	6189	39322
68	6252	39057
69	6314	38790
70	6375	38524
71	6428	38211
72	6484	37930
73	6544	37675
74	6599	37394
75	6649	37097
76	6698	36800
77	6758	36565
78	6816	36325
79	6869	36064
80	6926	35831
81	6960	35480
82	7010	35223
83	7069	35008
84	7129	34807
85	7181	34572
86	7240	34373
87	7295	34154
88	7351	33948
89	7404	33731
90	7450	33484
91	7503	33277
92	7559	33082
93	7611	32874
94	7671	32706
95	7726	32514
96	7776	32308
97	7835	32143
98	7894	31975
99	7944	31779
100	8001	31609
101	8091	31571
102	8138	31367
103	8197	31212
104	8249	31032
105	8301	30857
106	8359	30702
107	8414	30542
108	8464	30362
109	8521	30212
110	8577	30059
111	8644	29945
112	8707	29820
113	8756	29649
114	8818	29521
115	8869	29362
116	8926	29220
117	8980	29073
118	9040	28943
119	9098	28811
120	9158	28686
121	9214	28550
122	9274	28427
123	9336	28310
124	9386	28159
125	9443	28031
126	9497	27895
127	9548	27750
128	9595	27597
129	9677	27542
130	9732	27413
131	9791	27296
132	9842	27158
133	9893	27021
134	9945	26888
135	9993	26746
136	10042	26607
137	10100	26494
138	10148	26357
139	10205	26243
140	10257	26117
141	10310	25993
142	10365	25877
143	10427	25778
144	10481	25661
145	10530	25533
146	10592	25436
147	10654	25339
148	10708	25225
149	10760	25108
150	10820	25009
151	10886	24924
152	10947	24828
153	11003	24722
154	11073	24646
155	11136	24557
156	11191	24450
157	11250	24352
158	11308	24252
159	11364	24150
160	11424	24054
161	11475	23942
162	11522	23822
163	11569	23702
164	11633	23618
165	11695	23532
166	11745	23421
167	11808	23335
168	11857	23223
169	11909	23117
170	11961	23013
171	12015	22912
172	12063	22802
173	12115	22699
174	12173	22608
175	12225	22506
176	12273	22397
177	12320	22287
178	12368	22181
179	12419	22079
180	12469	21976
181	12518	21873
182	12566	21767
183	12615	21666
184	12671	21576
185	12723	21480
186	12770	21375
187	12821	21278
188	12876	21189
189	12926	21089
190	12981	21001
191	13040	20918
192	13096	20832
193	13147	20737
194	13201	20648
195	13253	20556
196	13303	20462
197	13365	20385
198	13426	20308
199	13486	20229
200	13539	20140
201	13597	20060
202	13657	19981
203	13715	19900
204	13775	19822
205	13832	19741
206	13882	19649
207	13938	19567
208	13993	19483
209	14039	19387
210	14086	19294
211	14144	19215
212	14201	19134
213	14255	19051
214	14316	18977
215	14381	18909
216	14446	18840
217	14495	18751
218	14546	18665
219	14608	18592
220	14676	18527
221	14738	18456
222	14785	18366
223	14837	18282
224	14888	18197
225	14944	18118
226	15002	18042
227	15066	17974
228	15118	17891
229	15167	17805
230	15226	17731
231	15282	17654
232	15334	17572
233	15382	17486
234	15440	17411
235	15511	17351
236	15565	17273
237	15628	17204
238	15693	17138
239	15746	17058
240	15804	16984
241	15865	16914
242	15917	16834
243	15976	16762
244	16030	16684
245	16090	16613
246	16140	16532
247	16195	16456
248	16248	16379
249	16322	16322
250	16383	16252
251	16458	16197
252	16516	16124
253	16564	16043
254	16623	15971
255	16681	15899
256	16732	15821
257	16783	15743
258	16845	15674
259	16901	15601
260	16954	15524
261	17008	15450
262	17056	15369
263	17112	15297
264	17167	15224
265	17218	15147
266	17270	15071
267	17327	14999
268	17390	14933
269	17447	14862
270	17497	14785
271	17552	14713
272	17604	14637
273	17668	14573
274	17723	14501
275	17772	14424
276	17827	14352
277	17892	14288
278	17968	14232
279	18033	14169
280	18091	14099
281	18152	14033
282	18209	13962
283	18273	13898
284	18339	13835
285	18398	13766
286	18458	13699
287	18511	13626
288	18567	13556
289	18621	13484
290	18679	13415
291	18735	13345
292	18801	13282
293	18866	13219
294	18945	13165
295	19032	13117
296	19120	13069
297	19175	12997
298	19224	12923
299	19273	12848
300	19321	12774
301	19372	12701
302	19422	12628
303	19473	12555
304	19522	12481
305	19572	12409
306	19630	12340
307	19686	12272
308	19735	12198
309	19794	12132
310	19848	12061
311	19896	11988
312	19947	11917
313	20002	11848
314	20064	11783
315	20125	11718
316	20178	11648
317	20234	11580
318	20283	11508
319	20331	11436
320	20387	11368
321	20439	11298
322	20493	11230
323	20552	11164
324	20611	11098
325	20668	11031
326	20723	10963
327	20785	10899
328	20841	10832
329	20895	10764
330	20950	10696
331	21011	10632
332	21073	10568
333	21131	10502
334	21189	10436
335	21243	10369
336	21300	10302
337	21356	10235
338	21404	10165
339	21481	10108
340	21543	10045
341	21650	10002
342	21734	9948
343	21817	9893
344	21875	9828
345	21923	9757
346	21970	9687
347	22020	9618
348	22070	9549
349	22122	9480
350	22198	9423
351	22260	9359
352	22309	9290
353	22361	9222
354	22412	9154
355	22475	9091
356	22526	9023
357	22573	8953
358	22631	8888
359	22694	8825
360	22746	8758
361	22840	8707
362	22889	8638
363	22970	8582
364	23027	8516
365	23082	8450
366	23139	8385
367	23187	8317
368	23243	8251
369	23298	8185
370	23363	8123
371	23433	8063
372	23485	7996
373	23543	7931
374	23610	7870
375	23672	7806
376	23723	7740
377	23802	7682
378	23855	7616
379	23902	7548
380	23962	7484
381	24015	7418
382	24065	7351
383	24125	7288
384	24178	7222
385	24225	7154
386	24289	7092
387	24338	7025
388	24392	6960
389	24445	6894
390	24495	6828
391	24552	6764
392	24612	6701
393	24659	6634
394	24716	6570
395	24772	6505
396	24837	6444
397	24897	6380
398	24953	6316
399	25009	6252
400	25087	6193
401	25157	6133
402	25213	6068
403	25270	6004
404	25329	5941
405	25385	5877
406	25435	5811
407	25484	5746
408	25532	5680
409	25581	5615
410	25633	5550
411	25684	5485
412	25741	5422
413	25802	5359
414	25860	5296
415	25907	5231
416	25968	5168
417	26035	5107
418	26095	5044
419	26160	4983
420	26223	4920
421	26278	4857
422	26327	4792
423	26375	4727
424	26433	4664
425	26483	4600
426	26551	4539
427	26615	4477
428	26664	4413
429	26712	4348
430	26766	4285
431	26819	4221
432	26875	4158
433	26935	4096
434	26992	4033
435	27047	3970
436	27134	3911
437	27185	3848
438	27237	3784
439	27287	3721
440	27346	3658
441	27409	3596
442	27479	3535
443	27540	3473
444	27602	3411
445	27651	3347
446	27703	3284
447	27755	3221
448	27806	3158
449	27862	3095
450	27921	3033
451	27974	2970
452	28034	2908
453	28100	2847
454	28159	2784
455	28215	2722
456	28266	2659
457	28336	2598
458	28406	2537
459	28457	2474
460	28513	2412
461	28571	2350
462	28623	2287
463	28672	2224
464	28720	2161
465	28776	2099
466	28829	2037
467	28886	1975
468	28936	1912
469	28992	1850
470	29065	1789
471	29123	1727
472	29175	1665
473	29226	1603
474	29278	1540
475	29327	1478
476	29377	1416
477	29437	1354
478	29490	1292
479	29540	1230
480	29590	1168
481	29646	1107
482	29693	1045
483	29743	983
484	29790	921
485	29840	859
486	29892	797
487	29940	736
488	29990	674
489	30038	613
490	30085	551
491	30134	489
492	30183	428
493	30232	367
494	30283	305
495	30330	244
496	30379	183
497	30430	122
498	30483	61
499	30539	0
